iter	Passed	Remaining
0	143	143775
1	145	72751
2	147	48877
3	148	36897
4	149	29691
5	150	24928
6	151	21505
7	152	18916
8	153	16911
9	154	15297
10	155	14014
11	157	12974
12	158	12068
13	159	11265
14	161	10574
15	162	9965
16	163	9428
17	164	8999
18	165	8570
19	167	8191
20	168	7855
21	170	7564
22	171	7273
23	172	7002
24	173	6767
25	175	6590
26	177	6406
27	179	6222
28	180	6047
29	182	5885
30	183	5730
31	184	5582
32	185	5445
33	186	5311
34	189	5229
35	191	5119
36	192	5010
37	193	4903
38	195	4812
39	197	4730
40	198	4637
41	199	4547
42	200	4459
43	201	4377
44	202	4300
45	204	4249
46	206	4184
47	207	4120
48	208	4055
49	210	3999
50	211	3936
51	212	3876
52	213	3818
53	214	3765
54	216	3712
55	217	3660
56	218	3614
57	219	3566
58	221	3529
59	222	3481
60	223	3437
61	224	3396
62	225	3360
63	227	3320
64	228	3282
65	229	3249
66	230	3215
67	232	3184
68	234	3162
69	235	3131
70	237	3103
71	238	3079
72	240	3059
73	242	3036
74	243	3009
75	245	2980
76	246	2953
77	247	2925
78	248	2901
79	250	2881
80	252	2861
81	253	2835
82	254	2812
83	255	2789
84	257	2766
85	257	2741
86	259	2718
87	260	2697
88	263	2694
89	264	2676
90	265	2656
91	267	2637
92	268	2619
93	270	2605
94	271	2587
95	272	2567
96	273	2550
97	275	2531
98	276	2515
99	277	2501
100	280	2492
101	281	2476
102	282	2464
103	284	2449
104	285	2435
105	287	2420
106	288	2405
107	289	2390
108	290	2375
109	291	2361
110	292	2346
111	295	2340
112	296	2328
113	298	2316
114	299	2306
115	301	2294
116	302	2280
117	303	2268
118	304	2256
119	305	2242
120	306	2228
121	307	2213
122	308	2203
123	310	2192
124	311	2182
125	312	2170
126	314	2160
127	316	2158
128	318	2150
129	319	2140
130	321	2131
131	322	2119
132	323	2107
133	324	2099
134	326	2090
135	327	2082
136	328	2071
137	329	2061
138	330	2049
139	332	2039
140	332	2028
141	333	2015
142	335	2011
143	336	2002
144	337	1992
145	338	1981
146	340	1976
147	342	1971
148	343	1962
149	345	1956
150	347	1953
151	348	1944
152	349	1934
153	351	1929
154	352	1924
155	354	1919
156	356	1912
157	357	1904
158	358	1895
159	359	1887
160	360	1878
161	361	1869
162	363	1866
163	364	1857
164	365	1848
165	367	1844
166	369	1844
167	371	1837
168	372	1829
169	373	1821
170	374	1813
171	376	1810
172	377	1803
173	378	1795
174	379	1788
175	380	1780
176	381	1771
177	382	1766
178	383	1758
179	385	1754
180	386	1746
181	386	1739
182	388	1732
183	389	1726
184	390	1720
185	391	1713
186	392	1706
187	393	1698
188	394	1691
189	394	1683
190	395	1676
191	397	1670
192	397	1663
193	399	1657
194	400	1652
195	401	1645
196	402	1639
197	403	1633
198	404	1627
199	405	1620
200	406	1615
201	408	1612
202	408	1605
203	409	1598
204	410	1592
205	411	1586
206	412	1579
207	413	1573
208	414	1567
209	415	1562
210	416	1558
211	417	1552
212	418	1547
213	419	1541
214	420	1535
215	421	1529
216	422	1524
217	423	1518
218	424	1512
219	425	1507
220	426	1501
221	426	1496
222	427	1490
223	428	1485
224	437	1506
225	439	1504
226	440	1501
227	442	1498
228	444	1495
229	445	1492
230	447	1490
231	449	1488
232	451	1485
233	452	1481
234	454	1478
235	456	1476
236	457	1473
237	459	1471
238	461	1468
239	462	1465
240	464	1462
241	467	1464
242	469	1461
243	471	1459
244	472	1455
245	473	1451
246	474	1448
247	476	1445
248	477	1441
249	479	1438
250	481	1435
251	482	1433
252	484	1429
253	485	1426
254	487	1423
255	488	1419
256	489	1416
257	491	1414
258	493	1410
259	494	1408
260	496	1405
261	497	1402
262	499	1399
263	500	1395
264	501	1390
265	502	1386
266	503	1382
267	504	1378
268	505	1373
269	506	1369
270	507	1365
271	508	1361
272	509	1357
273	510	1352
274	511	1349
275	513	1345
276	514	1341
277	515	1337
278	516	1334
279	517	1330
280	518	1326
281	519	1322
282	520	1319
283	522	1316
284	523	1313
285	525	1310
286	526	1306
287	527	1302
288	528	1299
289	528	1294
290	529	1290
291	530	1286
292	531	1282
293	532	1278
294	533	1274
295	534	1270
296	535	1266
297	536	1262
298	537	1259
299	538	1255
300	538	1251
301	539	1247
302	540	1243
303	541	1240
304	542	1236
305	543	1232
306	544	1228
307	545	1224
308	545	1220
309	546	1217
310	547	1213
311	548	1209
312	549	1206
313	556	1215
314	557	1212
315	558	1209
316	559	1205
317	560	1202
318	561	1199
319	562	1196
320	563	1192
321	564	1189
322	566	1186
323	567	1183
324	568	1180
325	569	1177
326	570	1174
327	571	1171
328	572	1168
329	573	1164
330	574	1161
331	575	1158
332	576	1155
333	577	1152
334	578	1149
335	579	1145
336	580	1142
337	581	1139
338	583	1136
339	584	1134
340	585	1131
341	586	1127
342	587	1124
343	588	1121
344	589	1118
345	590	1115
346	591	1112
347	592	1109
348	593	1106
349	593	1102
350	594	1099
351	595	1096
352	596	1093
353	597	1090
354	598	1087
355	599	1084
356	600	1081
357	601	1078
358	602	1075
359	603	1073
360	604	1070
361	605	1067
362	606	1064
363	607	1061
364	608	1057
365	608	1054
366	609	1051
367	610	1048
368	611	1045
369	612	1042
370	613	1040
371	614	1037
372	615	1034
373	616	1031
374	617	1028
375	618	1026
376	619	1023
377	620	1020
378	621	1017
379	622	1014
380	622	1012
381	624	1009
382	624	1006
383	625	1003
384	626	1001
385	627	998
386	628	996
387	629	993
388	630	990
389	631	987
390	632	985
391	633	982
392	634	979
393	635	976
394	635	974
395	636	971
396	637	968
397	638	965
398	639	963
399	640	960
400	641	957
401	642	955
402	643	953
403	644	950
404	645	947
405	646	945
406	646	942
407	647	939
408	648	937
409	649	934
410	650	932
411	651	929
412	652	927
413	653	924
414	654	921
415	654	919
416	655	916
417	656	914
418	657	911
419	658	909
420	659	906
421	660	904
422	661	901
423	661	899
424	662	896
425	663	894
426	664	891
427	665	889
428	666	886
429	666	883
430	667	881
431	668	878
432	669	876
433	670	874
434	671	871
435	672	869
436	673	867
437	674	865
438	675	862
439	676	860
440	677	858
441	678	856
442	679	853
443	680	851
444	681	849
445	682	847
446	683	845
447	684	842
448	685	840
449	686	838
450	687	836
451	688	834
452	689	832
453	689	829
454	691	827
455	692	825
456	693	823
457	694	821
458	695	819
459	696	817
460	697	815
461	698	813
462	699	811
463	700	808
464	701	806
465	702	804
466	703	802
467	704	800
468	705	798
469	706	796
470	707	794
471	708	792
472	709	790
473	709	787
474	710	785
475	711	783
476	712	781
477	714	779
478	715	777
479	716	776
480	717	774
481	718	772
482	719	770
483	721	768
484	722	766
485	723	764
486	724	762
487	725	760
488	726	758
489	727	756
490	727	754
491	728	752
492	729	750
493	730	748
494	731	746
495	732	744
496	734	743
497	735	741
498	736	739
499	737	737
500	738	735
501	739	733
502	740	731
503	741	729
504	742	727
505	743	725
506	744	723
507	745	722
508	746	719
509	747	718
510	748	716
511	749	714
512	750	712
513	751	710
514	752	709
515	753	707
516	754	705
517	755	703
518	756	701
519	757	699
520	758	697
521	759	695
522	760	693
523	761	691
524	762	689
525	763	687
526	764	686
527	765	684
528	766	682
529	767	680
530	768	678
531	769	677
532	770	675
533	771	673
534	772	671
535	773	669
536	774	667
537	775	665
538	776	664
539	777	662
540	778	660
541	779	658
542	780	657
543	782	655
544	783	653
545	784	651
546	785	650
547	786	648
548	787	646
549	788	644
550	789	643
551	789	641
552	790	639
553	791	637
554	792	635
555	793	633
556	794	632
557	795	630
558	797	628
559	798	627
560	799	625
561	800	623
562	801	621
563	802	620
564	803	618
565	804	616
566	805	614
567	806	613
568	807	611
569	808	609
570	809	607
571	810	606
572	811	604
573	812	603
574	813	601
575	814	599
576	815	597
577	816	596
578	817	594
579	818	592
580	819	590
581	820	589
582	821	587
583	822	585
584	823	583
585	824	582
586	825	580
587	826	578
588	827	577
589	828	575
590	829	573
591	830	572
592	831	570
593	832	568
594	833	567
595	834	565
596	835	563
597	836	562
598	836	560
599	837	558
600	838	556
601	839	555
602	840	553
603	841	551
604	842	550
605	844	548
606	845	547
607	846	545
608	846	543
609	847	542
610	848	540
611	849	538
612	850	537
613	851	535
614	852	533
615	853	532
616	854	530
617	855	528
618	856	527
619	857	525
620	858	524
621	859	522
622	860	520
623	861	519
624	862	517
625	863	515
626	864	514
627	865	512
628	866	510
629	867	509
630	868	507
631	868	505
632	870	504
633	871	502
634	872	501
635	872	499
636	873	497
637	874	496
638	875	494
639	876	492
640	877	491
641	878	489
642	879	488
643	880	486
644	881	484
645	881	483
646	882	481
647	883	480
648	884	478
649	885	477
650	887	475
651	888	474
652	888	472
653	889	470
654	890	469
655	891	467
656	893	466
657	894	464
658	894	463
659	895	461
660	896	459
661	897	458
662	898	456
663	899	455
664	900	453
665	901	452
666	902	450
667	903	449
668	904	447
669	905	446
670	906	444
671	907	443
672	908	441
673	909	440
674	910	438
675	911	437
676	912	435
677	913	433
678	914	432
679	915	431
680	916	429
681	917	428
682	918	426
683	919	425
684	920	423
685	921	421
686	922	420
687	923	418
688	924	417
689	925	415
690	926	414
691	927	412
692	928	411
693	929	409
694	930	408
695	931	407
696	933	405
697	934	404
698	935	402
699	936	401
700	937	399
701	938	398
702	939	397
703	940	395
704	941	394
705	942	392
706	943	391
707	944	389
708	945	388
709	946	386
710	947	385
711	948	383
712	949	382
713	950	380
714	951	379
715	952	377
716	953	376
717	954	374
718	955	373
719	956	372
720	957	370
721	958	369
722	959	367
723	960	366
724	961	364
725	962	363
726	963	361
727	964	360
728	965	358
729	966	357
730	967	356
731	968	354
732	969	353
733	970	351
734	971	350
735	972	348
736	973	347
737	974	345
738	975	344
739	976	343
740	977	341
741	978	340
742	979	338
743	980	337
744	981	335
745	982	334
746	983	333
747	984	331
748	985	330
749	986	328
750	987	327
751	987	325
752	988	324
753	989	322
754	991	321
755	992	320
756	993	318
757	994	317
758	995	316
759	996	314
760	997	313
761	998	311
762	999	310
763	1000	309
764	1001	307
765	1002	306
766	1003	304
767	1004	303
768	1005	301
769	1006	300
770	1007	299
771	1008	297
772	1009	296
773	1010	295
774	1011	293
775	1012	292
776	1013	290
777	1014	289
778	1015	287
779	1016	286
780	1016	285
781	1017	283
782	1018	282
783	1019	281
784	1021	279
785	1022	278
786	1023	276
787	1024	275
788	1025	274
789	1026	272
790	1027	271
791	1028	270
792	1029	268
793	1030	267
794	1031	265
795	1032	264
796	1032	263
797	1033	261
798	1034	260
799	1035	258
800	1036	257
801	1037	256
802	1038	254
803	1039	253
804	1040	252
805	1041	250
806	1042	249
807	1043	247
808	1044	246
809	1045	245
810	1045	243
811	1046	242
812	1047	240
813	1048	239
814	1049	238
815	1050	236
816	1051	235
817	1052	234
818	1053	232
819	1054	231
820	1055	230
821	1056	228
822	1057	227
823	1058	225
824	1058	224
825	1059	223
826	1060	221
827	1061	220
828	1062	219
829	1063	217
830	1064	216
831	1064	215
832	1065	213
833	1066	212
834	1068	211
835	1069	209
836	1070	208
837	1070	207
838	1071	205
839	1072	204
840	1073	202
841	1074	201
842	1075	200
843	1076	198
844	1076	197
845	1077	196
846	1078	194
847	1079	193
848	1080	192
849	1081	190
850	1082	189
851	1083	188
852	1084	186
853	1085	185
854	1086	184
855	1087	182
856	1088	181
857	1089	180
858	1090	178
859	1090	177
860	1091	176
861	1092	174
862	1093	173
863	1094	172
864	1095	170
865	1096	169
866	1097	168
867	1098	167
868	1099	165
869	1100	164
870	1101	163
871	1101	161
872	1102	160
873	1103	159
874	1104	157
875	1105	156
876	1106	155
877	1106	153
878	1107	152
879	1108	151
880	1109	149
881	1110	148
882	1111	147
883	1112	145
884	1113	144
885	1114	143
886	1115	142
887	1115	140
888	1116	139
889	1117	138
890	1118	136
891	1119	135
892	1120	134
893	1121	132
894	1122	131
895	1122	130
896	1123	129
897	1124	127
898	1125	126
899	1126	125
900	1127	123
901	1128	122
902	1129	121
903	1130	120
904	1131	118
905	1132	117
906	1133	116
907	1134	114
908	1134	113
909	1135	112
910	1136	111
911	1137	109
912	1138	108
913	1138	107
914	1139	105
915	1140	104
916	1141	103
917	1142	102
918	1143	100
919	1144	99
920	1145	98
921	1146	97
922	1147	95
923	1148	94
924	1149	93
925	1150	91
926	1151	90
927	1152	89
928	1153	88
929	1154	86
930	1155	85
931	1156	84
932	1157	83
933	1158	81
934	1158	80
935	1160	79
936	1160	78
937	1161	76
938	1162	75
939	1163	74
940	1164	73
941	1165	71
942	1166	70
943	1166	69
944	1167	67
945	1168	66
946	1169	65
947	1170	64
948	1171	62
949	1172	61
950	1173	60
951	1174	59
952	1175	57
953	1176	56
954	1177	55
955	1177	54
956	1178	52
957	1179	51
958	1180	50
959	1181	49
960	1182	47
961	1183	46
962	1184	45
963	1184	44
964	1185	43
965	1186	41
966	1187	40
967	1188	39
968	1189	38
969	1190	36
970	1191	35
971	1192	34
972	1193	33
973	1194	31
974	1195	30
975	1196	29
976	1197	28
977	1198	26
978	1198	25
979	1199	24
980	1200	23
981	1201	22
982	1202	20
983	1203	19
984	1203	18
985	1204	17
986	1205	15
987	1206	14
988	1207	13
989	1208	12
990	1209	10
991	1210	9
992	1211	8
993	1212	7
994	1212	6
995	1213	4
996	1214	3
997	1215	2
998	1216	1
999	1217	0
